Dominio,Status,Bloqueado,IPs_Resueltas
www.oneworld.net,NOERROR,No,"200.35.79.41, 66.45.226.139, 200.35.79.41, 200.35.79.41"
www.mail2web.com,NOERROR,No,"200.35.79.41, 66.113.135.6, 200.35.79.41, 200.35.79.41"
i2pforum.net,NOERROR,No,"200.35.79.41, 91.143.90.53, 200.35.79.41, 200.35.79.41"
hola.org,NOERROR,No,"200.35.79.41, 54.225.121.9, 107.22.193.119, 200.35.79.41, 200.35.79.41"
shamash.org,NOERROR,No,"200.35.79.41, 66.96.163.134, 200.35.79.41, 200.35.79.41"
www.bittornado.com,NOERROR,No,"200.35.79.41, 23.237.152.122, 200.35.79.41, 200.35.79.41"
www.photobucket.com,NOERROR,No,"200.35.79.41, 108.156.60.116, 108.156.60.53, 108.156.60.24, 108.156.60.49, 200.35.79.41, 200.35.79.41"
www.oovoo.com,NOERROR,No,"200.35.79.41, 172.67.176.162, 104.21.80.90, 200.35.79.41, 200.35.79.41"
www.netflix.com,NOERROR,No,"200.35.79.41, 98.85.148.156, 107.20.160.27, 98.85.218.18, 200.35.79.41, 200.35.79.41"
timesofindia.indiatimes.com,NOERROR,No,"200.35.79.41, 23.221.214.180, 23.221.214.188, 200.35.79.41, 200.35.79.41"
www.cis.minsk.by,NOERROR,No,"200.35.79.41, 195.222.71.116, 200.35.79.41, 200.35.79.41"
cf-ipfs.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.dailymotion.com,NOERROR,No,"200.35.79.41, 3.134.235.187, 200.35.79.41, 200.35.79.41"
www.kabobfest.com,NOERROR,No,"200.35.79.41, 31.220.81.116, 200.35.79.41, 200.35.79.41"
mask.icloud.com,NOERROR,No,"200.35.79.41, 172.224.176.5, 172.224.176.4, 172.224.176.3, 172.224.176.131, 172.224.176.133, 172.224.176.132, 172.224.176.134, 172.224.176.6, 200.35.79.41, 200.35.79.41"
mask-h2.icloud.com,NOERROR,No,"200.35.79.41, 172.224.176.132, 172.224.176.133, 172.224.176.6, 172.224.176.5, 172.224.176.3, 172.224.176.4, 172.224.176.131, 172.224.176.134, 200.35.79.41, 200.35.79.41"
www.espectador.com,NOERROR,No,"200.35.79.41, 179.27.158.101, 200.35.79.41, 200.35.79.41"
www.womensmediacenter.com,NOERROR,No,"200.35.79.41, 104.207.230.167, 200.35.79.41, 200.35.79.41"
www.search.com,NOERROR,No,"200.35.79.41, 129.213.45.124, 200.35.79.41, 200.35.79.41"
cloudflare-ipfs.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.globet.com,NOERROR,No,"200.35.79.41, 15.197.148.33, 3.33.130.190, 200.35.79.41, 200.35.79.41"
startpage.com,NOERROR,No,"200.35.79.41, 67.63.61.137, 200.35.79.41, 200.35.79.41"
twitter.com,NOERROR,No,"200.35.79.41, 162.159.140.229, 172.66.0.227, 200.35.79.41, 200.35.79.41"
www.jabber.ru,NOERROR,No,"200.35.79.41, 116.202.237.43, 200.35.79.41, 200.35.79.41"
www.dotster.com,NOERROR,No,"200.35.79.41, 172.64.148.83, 200.35.79.41, 200.35.79.41"
www.eurogrand.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
search.privacytools.io,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.splitacecasino.net,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.ragingbullcampaign.com,UNKNOWN,No,200.35.79.41
tutl24.xyz,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
www.futbollibretv.fr,NOERROR,No,"200.35.79.41, 31.214.178.54, 200.35.79.41, 200.35.79.41"
librefutbol.futbol,NOERROR,No,"200.35.79.41, 72.52.178.23, 200.35.79.41, 200.35.79.41"
futbollibrehd.net,NOERROR,No,"200.35.79.41, 72.52.178.23, 200.35.79.41, 200.35.79.41"
librefutboltv.net,NOERROR,No,"200.35.79.41, 72.52.178.23, 200.35.79.41, 200.35.79.41"
ott-cdn.me,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
ottc.pro,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
tvmagis.net,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
libre.futbol,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41"
televisionlibre.futbol,NOERROR,No,"200.35.79.41, 52.223.13.41, 200.35.79.41, 200.35.79.41"
portalbarranca.com,NOERROR,No,"200.35.79.41, 104.21.42.2, 172.67.154.89, 200.35.79.41, 200.35.79.41"
televisiongratishd.com,NOERROR,No,"200.35.79.41, 69.16.230.165, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.123bingoonline.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.21nova.es,UNKNOWN,No,200.35.79.41
www.allirishcasino.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.caesarsbingo.com,UNKNOWN,No,200.35.79.41
www.freespinscasino.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.jetbull.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.123bingoonline.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.21nova.es,UNKNOWN,No,200.35.79.41
www.allirishcasino.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.caesarsbingo.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.eurogrand.com,UNKNOWN,No,200.35.79.41
www.freespinscasino.com,NOERROR,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.jetbull.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.ragingbullcampaign.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.splitacecasino.net,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.televisiongratishd.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.pokerstars.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.roxypalace.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.grandonline.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
rojadirecta.me,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
rojadirecta.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.rojadirecta.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
casino.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.europacasino.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.888casino.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
vegas.williamhill.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casinoaction.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casino777.es,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casino777.be,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casino.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casino-estrellas.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.casimba.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
www.cashmio.com,UNKNOWN,No,"200.35.79.41, 200.35.79.41, 200.35.79.41, 200.35.79.41"
